open_time,open,high,low,close,volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-01-15 08:15:00,97298.0,97470.0,97115.0,97470.0,1185.488,688.435,66990325.5289
2025-01-15 08:30:00,97469.9,97488.0,97301.7,97343.7,960.886,461.001,44907317.4711
2025-01-15 08:45:00,97343.7,97343.7,97140.0,97160.1,718.413,330.781,32159199.3578
2025-01-15 09:00:00,97160.1,97325.6,97125.0,97276.1,754.736,455.544,44284225.4534
2025-01-15 09:15:00,97276.1,97317.8,96836.4,96836.4,1771.911,459.733,44614630.1391
2025-01-15 09:30:00,96836.4,97008.8,96825.6,97008.8,2175.288,1076.73,104338682.313
2025-01-15 09:45:00,97008.8,97008.8,96720.0,96777.1,2094.124,951.562,92131017.7094
2025-01-15 10:00:00,96777.1,96969.2,96670.0,96849.3,2272.542,1036.184,100307537.5781
2025-01-15 10:15:00,96849.3,97059.7,96792.4,97023.5,1170.699,707.855,68612658.7564
2025-01-15 10:30:00,97023.4,97096.1,96931.3,96971.6,631.413,294.412,28570664.5957
2025-01-15 10:45:00,96971.5,97012.7,96824.2,96889.1,680.724,282.186,27351628.3069
2025-01-15 11:00:00,96889.0,96900.0,96603.4,96768.6,1404.439,618.555,59844602.9525
2025-01-15 11:15:00,96768.6,96778.4,96480.0,96609.6,2303.46,1068.558,103212470.3255
2025-01-15 11:30:00,96609.6,96706.7,96506.9,96650.0,1142.061,605.801,58545497.2783
2025-01-15 11:45:00,96650.0,96753.9,96616.6,96725.4,844.5,515.33,49829076.5347
2025-01-15 12:00:00,96725.5,96755.0,96571.6,96580.0,819.337,320.337,30966225.5101
2025-01-15 12:15:00,96580.0,96604.0,96500.0,96549.9,1203.093,601.914,58115610.1127
2025-01-15 12:30:00,96550.0,97166.9,96530.4,97047.2,2537.811,1557.387,150891059.281
2025-01-15 12:45:00,97047.1,97047.1,96856.2,96896.3,1373.506,658.487,63815389.0713
2025-01-15 13:00:00,96896.4,97043.9,96873.4,96892.6,1248.823,522.512,50664332.1405
2025-01-15 13:15:00,96892.6,97299.4,96802.8,97244.5,3015.398,1543.87,149965444.0116
2025-01-15 13:30:00,97244.4,98599.9,97240.0,98457.5,22683.193,12104.299,1189231382.2952
2025-01-15 13:45:00,98457.5,99000.0,98440.3,98916.1,9128.84,5386.579,532307324.9285
2025-01-15 14:00:00,98916.1,99410.0,98714.3,98906.9,9125.928,4722.785,468122349.8558
2025-01-15 14:15:00,98907.0,99112.4,98572.0,98680.0,5668.918,2614.634,258413646.7319
2025-01-15 14:30:00,98680.1,99050.0,98588.8,98953.4,4852.063,2306.0,227941672.1721
2025-01-15 14:45:00,98953.4,99465.8,98785.5,99382.4,5118.817,2641.632,262090016.8129
2025-01-15 15:00:00,99382.3,99669.0,99224.0,99247.7,7366.853,3825.406,380641960.1112
2025-01-15 15:15:00,99247.7,99746.6,99076.9,99664.9,4143.299,2211.08,219796311.929
2025-01-15 15:30:00,99663.4,99670.0,99190.0,99223.9,3802.41,1565.393,155588503.9753
2025-01-15 15:45:00,99223.9,99443.3,98916.3,98943.4,3394.816,1666.155,165260471.8528
2025-01-15 16:00:00,98943.3,99436.4,98943.3,99379.5,2837.191,1380.181,136942562.9983
2025-01-15 16:15:00,99379.5,99419.2,99030.1,99223.3,2058.32,840.986,83449416.4364
2025-01-15 16:30:00,99223.3,99223.3,98830.8,98950.0,2442.858,1132.736,112125334.4658
2025-01-15 16:45:00,98950.0,99086.0,98866.6,98948.0,1880.876,952.999,94315084.307
2025-01-15 17:00:00,98948.1,99269.0,98926.4,99219.4,1768.204,875.811,86805507.958
2025-01-15 17:15:00,99219.4,99283.9,98964.9,99056.0,1323.432,515.29,51065030.0728
2025-01-15 17:30:00,99055.9,99261.0,98974.6,99041.3,965.102,449.05,44505279.4307
2025-01-15 17:45:00,99041.2,99090.4,98550.1,98596.4,3108.491,1271.985,125587198.1921
2025-01-15 18:00:00,98596.4,98863.9,98596.4,98850.9,1845.471,980.834,96867065.8387
2025-01-15 18:15:00,98850.9,99105.8,98850.9,99027.2,1316.584,633.769,62749572.2192
2025-01-15 18:30:00,99027.1,99223.7,98939.5,99175.4,1375.377,618.7,61300964.9606
2025-01-15 18:45:00,99175.3,99400.0,99161.4,99385.1,1857.034,1093.699,108579953.7294
2025-01-15 19:00:00,99385.0,99528.8,99285.0,99326.7,2204.691,959.304,95374651.9478
2025-01-15 19:15:00,99327.1,99427.3,99233.0,99298.7,1000.756,487.265,48395772.5027
2025-01-15 19:30:00,99298.6,99665.7,99283.9,99370.0,2182.978,1081.524,107630399.1246
2025-01-15 19:45:00,99370.1,100038.1,99350.0,99807.4,6154.796,3736.977,372792906.355
2025-01-15 20:00:00,99807.4,100391.5,99690.0,100200.8,6029.73,3611.734,361387422.0588
2025-01-15 20:15:00,100200.9,100658.9,100082.5,100145.6,5336.124,2990.068,300284335.9338
2025-01-15 20:30:00,100145.5,100156.6,99631.2,99700.2,4317.843,1995.33,199334687.983
2025-01-15 20:45:00,99700.2,99782.8,99410.3,99516.0,3937.945,1822.13,181413702.4213
2025-01-15 21:00:00,99516.0,99771.6,99430.9,99711.2,1723.339,1052.3,104821205.5471
2025-01-15 21:15:00,99711.1,99810.6,99598.0,99730.3,831.076,398.81,39770473.2413
2025-01-15 21:30:00,99730.2,99751.0,99534.2,99543.7,547.71,195.002,19430840.497
2025-01-15 21:45:00,99543.7,99786.9,99507.3,99628.0,677.449,381.177,37981818.8449
2025-01-15 22:00:00,99628.0,99649.2,99509.0,99568.9,720.599,257.576,25644891.3901
2025-01-15 22:15:00,99569.0,99609.5,99528.1,99534.9,465.979,189.685,18883917.8401
2025-01-15 22:30:00,99534.9,99768.1,99534.9,99736.6,875.653,570.152,56832378.5576
2025-01-15 22:45:00,99736.6,99810.0,99637.7,99674.2,617.154,289.918,28907953.5822
2025-01-15 23:00:00,99674.2,99730.0,99578.3,99626.3,1024.174,454.867,45324586.8651
2025-01-15 23:15:00,99626.3,100145.6,99620.3,100095.3,1887.788,1314.753,131353019.3767
2025-01-15 23:30:00,100095.3,100255.6,99849.3,100245.6,2156.798,1267.625,126896580.9212
2025-01-15 23:45:00,100245.6,100500.0,100047.7,100460.0,1789.03,1047.128,105017846.0534
2025-01-16 00:00:00,100460.0,100850.0,100245.6,100254.6,4648.797,2166.105,217872144.4735
2025-01-16 00:15:00,100254.6,100500.1,100020.0,100300.0,2289.554,1178.664,118164607.363
2025-01-16 00:30:00,100300.0,100381.0,99612.0,99811.9,3294.205,1360.282,135814503.0658
2025-01-16 00:45:00,99811.8,99880.0,99635.2,99831.5,1689.977,834.816,83284307.4465
2025-01-16 01:00:00,99831.5,100085.2,99773.7,99974.5,1446.52,840.579,84014797.898
2025-01-16 01:15:00,99974.4,100057.8,99790.0,99936.9,781.478,364.033,36365321.3153
2025-01-16 01:30:00,99936.9,100120.9,99829.8,100058.0,896.099,550.406,55049948.3326
2025-01-16 01:45:00,100058.0,100166.8,99946.1,100046.1,693.565,321.575,32180322.9878
